PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP
DILLON JOHNSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.3,82.0,131.0,19.8,10.0,136.0,0.0,0.0,113.8,78,133,23.9,10,144,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500
DONTA FOREMAN,8.9,1.2,0.1,8.6,12.1,0.4,47.2,1.8,80.2,60.5,44.0,56.0,5.9,7.0,77.0,10.1,91.2,64.1,48,58,5.8,7,85,11.0,1.0,77.0,109.0,4.0,425.0,CLE,16.0,4,8,8,11,33,33,11,33,22,3,500.0,500
DYLAN LAUBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4,65.0,78.0,10.6,8.0,101.0,0.0,0.0,78.9,58,77,10.3,8,100,0.0,0.0,0.0,0.0,0.0,0.0,LV,0.0,9,19,3,0,0,0,0,0,0,3,500.0,500
ELIJAH DOTSON,0.5,0.5,0.0,3.3,1.0,0.0,1.5,0.5,1.9,154.0,145.0,171.0,9.0,11.0,163.0,1.0,3.9,156.5,148,172,8.5,11,165,2.0,0.0,13.0,4.0,0.0,6.0,LAC,2.0,21,22,10,0,100,0,0,100,0,0,500.0,500
ELIJAH MITCHELL,3.8,0.5,0.0,1.3,6.8,0.2,25.5,0.7,41.5,54.8,47.0,53.0,4.5,6.0,74.0,4.3,47.5,57.1,49,54,5.1,6,79,6.0,0.0,14.0,75.0,2.0,281.0,SF,8.0,10,12,5,0,80,10,0,80,10,2,181.0,500
EMANI BAILEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.6,101.0,134.0,16.2,10.0,141.0,0.0,0.0,128.8,100,136,16.9,10,147,0.0,0.0,0.0,0.0,0.0,0.0,KC,0.0,3,6,11,0,0,0,0,0,0,0,500.0,500
EMANUEL WILSON,1.5,0.6,0.0,3.3,2.0,0.0,12.1,0.7,10.8,121.8,105.0,129.0,9.9,10.0,130.0,2.1,14.8,127.4,102,135,14.8,10,146,4.0,0.0,23.0,14.0,0.0,85.0,GB,5.0,29,29,15,0,86,0,0,100,0,4,500.0,500
EMARI DEMERCADO,3.7,1.5,0.0,8.5,4.1,0.1,20.3,2.1,52.3,91.0,72.0,91.0,7.1,8.0,100.0,5.2,73.3,84.8,68,90,5.7,8,98,21.0,0.0,119.0,58.0,2.0,284.0,ARI,30.0,25,26,13,0,58,17,0,58,33,3,500.0,500
ERIC GRAY,0.5,0.4,0.0,1.6,1.2,0.0,3.4,0.5,7.0,85.5,65.0,88.0,8.4,8.0,98.0,0.9,13.0,87.7,66,89,8.8,8,103,6.0,0.0,22.0,17.0,0.0,48.0,NYG,7.0,13,1,32,0,100,0,0,100,0,3,500.0,500
EVAN HULL,0.7,1.0,0.0,6.0,1.0,0.0,1.0,1.0,0.7,78.4,56.0,75.0,6.2,8.0,95.0,1.7,1.7,78.9,55,75,6.5,8,93,1.0,0.0,6.0,1.0,0.0,1.0,IND,1.0,31,32,22,0,100,0,0,100,0,3,500.0,500
EZEKIEL ELLIOTT,7.3,3.0,0.1,18.4,10.8,0.2,37.8,3.8,123.5,35.8,23.0,36.0,5.1,5.0,51.0,10.3,174.5,35.9,24,35,5.1,5,50,51.0,2.0,313.0,184.0,3.0,642.0,DAL,65.0,5,4,23,6,38,50,6,19,38,1,113.0,103
FRANK GORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.6,95.0,111.0,9.0,9.0,123.0,0.0,0.0,103.5,92,110,7.9,9,114,0.0,0.0,0.0,0.0,0.0,0.0,BUF,0.0,12,7,24,0,0,0,0,0,0,5,500.0,500
GARY BRIGHTWELL,1.6,1.3,0.0,11.8,2.3,0.0,4.8,1.8,6.6,123.7,98.0,147.0,19.7,10.0,146.0,2.9,11.6,134.5,128,159,6.5,11,141,5.0,0.0,47.0,9.0,0.0,19.0,FA,7.0,33,33,33,0,100,0,0,100,0,0,500.0,500
GUS EDWARDS,10.3,0.7,0.0,10.6,11.6,0.8,47.6,0.8,175.0,31.4,22.0,29.0,5.3,5.0,47.0,11.0,187.0,37.8,29,38,3.5,5,50,12.0,0.0,180.0,198.0,13.0,810.0,LAC,13.0,21,22,10,19,13,56,6,31,50,1,117.0,127
HASSAN HASKINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.3,102.0,144.0,13.5,10.0,134.0,0.0,0.0,120.3,97,143,16.6,10,134,0.0,0.0,0.0,0.0,0.0,0.0,TEN,0.0,11,13,6,0,0,0,0,0,0,3,500.0,500
HUNTER LUEPKE,0.6,0.2,0.0,1.1,0.4,0.1,1.1,0.2,9.7,139.3,131.0,152.0,4.9,10.0,143.0,0.7,12.7,139.3,135,149,3.5,10,144,3.0,0.0,18.0,6.0,1.0,19.0,DAL,4.0,5,4,23,0,93,0,0,93,0,0,500.0,500
ISAAC GUERENDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,59.0,84.0,8.8,8.0,114.0,0.0,0.0,82.2,65,83,7.8,8,106,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,10,12,5,0,0,0,0,0,0,3,500.0,500
ISAIAH DAVIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.1,79.0,108.0,8.9,9.0,113.0,0.0,0.0,98.4,80,108,9.1,9,116,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,0.0,22,24,16,0,0,0,0,0,0,5,500.0,500
ISAIAH SPILLER,1.4,0.7,0.0,3.8,4.1,0.0,10.7,0.7,13.0,92.3,83.0,94.0,5.3,8.0,112.0,2.1,19.0,94.8,83,95,5.6,8,112,6.0,0.0,34.0,37.0,0.0,96.0,LAC,6.0,21,22,10,0,89,0,0,100,0,4,500.0,500
ISIAH PACHECO,12.1,3.1,0.1,17.4,14.6,0.5,66.8,3.5,169.9,10.5,6.0,10.0,1.8,3.0,17.0,15.3,213.9,10.2,6,9,2.1,3,16,44.0,2.0,244.0,205.0,7.0,935.0,KC,49.0,3,6,11,21,7,64,21,0,57,1,32.0,17
ISRAEL ABANIKANDA,1.3,1.0,0.0,6.1,3.1,0.0,10.0,1.6,9.3,81.8,69.0,85.0,7.7,8.0,112.0,2.3,16.3,85.4,66,86,9.3,8,120,7.0,0.0,43.0,22.0,0.0,70.0,NYJ,11.0,22,24,16,0,83,0,0,100,0,3,500.0,500
JAHMYR GIBBS,12.7,3.5,0.1,21.1,12.1,0.7,63.0,4.7,190.1,6.2,3.0,5.0,1.6,2.0,10.0,16.1,242.1,4.8,3,4,1.1,2,8,52.0,1.0,316.0,182.0,10.0,945.0,DET,71.0,14,11,18,29,0,57,36,7,64,1,11.5,14
JALEEL MCLAUGHLIN,4.4,1.8,0.1,9.4,4.5,0.1,24.1,2.1,75.0,48.8,35.0,49.0,5.2,6.0,63.0,6.2,106.0,46.5,33,45,5.2,6,57,31.0,2.0,160.0,76.0,1.0,410.0,DEN,36.0,19,18,20,0,56,13,0,56,19,2,161.0,181
JAMAAL WILLIAMS,3.3,1.4,0.0,4.8,8.2,0.1,23.5,1.5,42.8,69.0,55.0,71.0,5.5,7.0,81.0,4.7,60.8,68.1,53,70,6.5,7,83,18.0,0.0,62.0,106.0,1.0,306.0,NO,20.0,27,20,31,0,75,0,0,83,8,3,500.0,500
JAMES CONNER,13.4,2.1,0.2,12.7,16.0,0.5,80.0,2.5,174.5,19.6,11.0,18.0,3.5,4.0,27.0,15.5,201.5,20.9,12,20,4.0,4,32,27.0,2.0,165.0,208.0,7.0,1040.0,ARI,33.0,25,26,13,17,8,50,25,8,58,1,66.5,70
JAMES COOK,11.1,2.6,0.2,26.2,13.9,0.1,66.0,3.2,188.7,14.7,6.0,15.0,2.7,3.0,23.0,13.7,232.7,14.0,6,13,2.9,3,22,44.0,4.0,445.0,237.0,2.0,1122.0,BUF,54.0,12,7,24,13,13,56,13,19,56,1,39.5,29
JAMES ROBINSON,0.0,1.0,0.0,-2.0,1.0,0.0,2.0,1.0,0.0,155.0,127.0,160.0,18.8,11.0,180.0,1.0,1.0,156.0,127,161,19.1,11,180,1.0,0.0,-2.0,1.0,0.0,2.0,NO,1.0,27,20,31,0,100,0,0,100,0,0,500.0,500
