PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
ROME ODUNZE,WR,82.0,5.3,0.0,0.0,3.2,0.2,43.2,0.2,0.0,0.9,50.0,90.9,0.0,0.0,78.3,8.5,47.0,144.9,77.0,13.9,7.0,114.0,54.0,3.0,734.0,79.0,3.0,0.0,15.0,13.3,CHI,7.0,122.0,8,13,3,2,82.0,76
ROMEO DOUBS,WR,163.4,6.6,0.0,0.0,3.5,0.3,46.2,0.0,0.0,0.0,125.0,86.1,0.0,0.0,159.8,10.2,122.0,132.1,152.0,18.6,10.0,224.0,46.0,4.0,601.0,158.0,0.0,0.0,0.0,15.4,GB,10.0,203.0,13,17,6,3,191.5,500
RONDALE MOORE,WR,343.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,0.0,0.0,0.0,340.3,0.0,290.0,0.0,468.0,35.8,16.0,370.0,0.0,0.0,0.0,465.0,0.0,0.0,0.0,34.7,MIN,16.0,375.0,26,28,24,5,500.0,500
RONNIE RIVERS,RB,358.0,1.9,0.0,0.0,0.7,0.0,4.9,3.1,0.0,14.1,336.0,13.3,0.0,0.0,375.5,2.6,365.0,18.3,505.0,10.5,16.0,386.0,5.0,0.0,34.0,486.0,22.0,0.0,99.0,22.0,LAR,16.0,380.0,10,9,9,0,500.0,500
ROSCHON JOHNSON,RB,165.4,4.7,0.0,0.0,1.2,0.0,8.0,4.2,0.5,11.5,119.0,61.4,0.0,0.0,173.7,6.0,131.0,77.4,170.0,28.5,10.0,282.0,16.0,0.0,104.0,161.0,55.0,6.0,150.0,24.7,CHI,10.0,277.0,7,3,24,2,178.5,500
RUSSELL WILSON,QB,265.3,16.2,1.5,225.6,0.0,0.0,0.0,3.9,0.2,14.1,151.0,177.8,16.0,2482.0,249.5,16.2,138.0,177.8,236.0,32.2,12.0,323.0,0.0,0.0,0.0,251.0,43.0,2.0,155.0,30.8,NYG,12.0,334.0,5,5,9,1,198.5,500
SAM DARNOLD,QB,193.1,18.8,2.1,254.1,0.0,0.0,0.0,3.9,0.1,12.5,124.0,320.0,35.0,4319.0,173.6,18.8,113.0,320.0,166.0,32.0,10.0,254.0,0.0,0.0,0.0,178.0,67.0,1.0,212.0,38.3,SEA,10.0,297.0,28,23,31,1,180.0,500
SAM HOWELL,QB,356.0,0.2,0.0,24.0,0.0,0.0,0.0,1.0,0.0,2.0,330.0,0.2,0.0,24.0,348.0,0.2,330.0,0.2,474.0,15.1,16.0,367.0,0.0,0.0,0.0,479.0,1.0,0.0,2.0,22.6,MIN,16.0,385.0,22,18,29,2,500.0,500
SAM LAPORTA,TE,58.7,7.2,0.0,0.0,3.8,0.4,45.4,0.0,0.0,0.0,22.0,114.6,0.0,0.0,68.0,10.9,48.0,174.6,64.0,8.7,6.0,84.0,60.0,7.0,726.0,55.0,0.0,0.0,0.0,8.1,DET,6.0,67.0,15,15,24,1,56.0,41
SAMAJE PERINE,RB,307.6,3.1,0.0,0.0,1.6,0.1,18.9,1.2,0.1,5.4,207.0,53.4,0.0,0.0,297.6,4.8,188.0,81.4,339.0,47.2,14.0,392.0,28.0,1.0,322.0,347.0,20.0,1.0,92.0,50.6,CIN,14.0,392.0,26,27,22,3,500.0,500
