PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH
Dare Ogunbowale,RB,332.5,1.4,0.0,0.0,0.7,0.0,3.9,2.3,0.0,10.4,259.0,19.9,0.0,0.0,323.5,2.1,237.0,29.9,378.0,37.1,12.0,388.0,10.0,0.0,54.0,391.0,32.0,0.0,145.0,19.5,JAC,14.0,387.0,9,23,2,6
Darius Slayton,WR,197.3,5.7,0.0,0.0,3.1,0.2,46.9,0.1,0.0,-0.1,122.0,91.0,0.0,0.0,214.9,8.8,147.0,141.0,208.0,28.4,9.0,328.0,50.0,3.0,751.0,190.0,2.0,0.0,-1.0,32.5,NYG,11.0,343.0,13,17,12,3
Darnell Mooney,WR,141.8,5.7,0.0,0.0,3.8,0.3,39.4,0.3,0.0,1.3,72.0,91.1,0.0,0.0,122.2,9.5,79.0,152.1,121.0,25.8,7.0,210.0,61.0,4.0,631.0,134.0,4.0,0.0,20.0,27.3,CHI,9.0,223.0,12,19,9,2
Darrel Williams,RB,211.3,2.3,0.0,0.0,1.1,0.0,7.3,2.4,0.1,10.6,134.0,36.5,0.0,0.0,189.7,3.4,126.0,54.5,184.0,38.3,8.0,322.0,18.0,0.0,116.0,205.0,39.0,1.0,169.0,44.5,KC,11.0,342.0,16,15,13,3
Darrell Henderson,RB,50.4,7.6,0.0,0.0,1.1,0.1,10.6,9.2,0.3,41.6,22.0,114.3,0.0,0.0,58.2,8.7,31.0,130.3,56.0,15.7,5.0,132.0,16.0,1.0,159.0,47.0,138.0,5.0,624.0,23.9,LAR,5.0,129.0,1,5,10,1
Darren Fells,TE,348.7,3.5,0.0,0.0,1.3,0.3,19.5,0.0,0.0,0.0,325.0,55.2,0.0,0.0,349.9,4.8,260.0,76.2,443.0,43.6,13.0,426.0,21.0,4.0,312.0,446.0,0.0,0.0,0.0,9.2,DET,15.0,356.0,21,24,13,0
Darren Waller,TE,26.1,10.7,0.0,0.0,6.7,0.6,74.8,0.0,0.0,0.0,16.0,171.6,0.0,0.0,20.2,17.4,16.0,278.6,20.0,3.5,3.0,30.0,107.0,9.0,1196.0,24.0,0.0,0.0,0.0,4.0,LV,4.0,46.0,6,16,4,1
Darrynton Evans,RB,222.8,2.8,0.0,0.0,0.4,0.2,5.4,2.8,0.0,10.8,149.0,14.1,0.0,0.0,214.6,3.2,146.0,16.1,221.0,42.5,9.0,360.0,2.0,1.0,27.0,222.0,14.0,0.0,54.0,41.1,TEN,11.0,360.0,19,16,16,2
Darwin Thompson,RB,342.2,2.0,0.0,0.0,0.5,0.1,5.0,2.1,0.1,7.5,277.0,26.2,0.0,0.0,348.0,2.6,273.0,33.2,453.0,44.3,13.0,432.0,7.0,1.0,65.0,423.0,27.0,1.0,97.0,40.0,TB,15.0,386.0,32,32,24,4
Davante Adams,WR,11.7,17.4,0.0,0.0,8.2,1.3,98.1,0.0,0.0,0.0,4.0,243.4,0.0,0.0,6.1,25.6,5.0,358.4,4.0,2.1,1.0,12.0,115.0,18.0,1374.0,11.0,0.0,0.0,0.0,2.3,GB,2.0,22.0,29,29,19,1
