PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_TGT,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_TIERS,REC,REC_TDS,REC_TGT,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
Quintez Cephus,3.6,1.5,0.2,2.7,26.8,0.0,0.0,0.0,46.9,102.3,66.0,102.0,9.4,8.0,132.0,5.1,66.9,96.8,71.0,94.0,10.7,8.0,122.0,102.0,8.0,20.0,2.0,35.0,349.0,0.0,0.0,0.0,DET,23,30,6,0.0,0.0,0.0,4
Racey McMath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,137.0,214.0,43.0,12.0,223.0,0.0,0.0,191.1,135.0,198.0,46.4,12.0,280.0,212.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,25,27,20,0.0,0.0,0.0,7
Randall Cobb,6.2,3.8,0.3,4.8,44.1,0.0,0.0,0.0,62.1,84.2,43.0,84.0,12.5,8.0,120.0,10.0,100.1,76.8,42.0,78.0,12.2,8.0,105.0,82.0,8.0,38.0,3.0,48.0,441.0,0.0,0.0,0.0,GB,29,29,19,0.0,0.0,0.0,2
Rashard Higgins,6.5,2.8,0.3,4.0,46.1,0.0,0.0,0.0,83.9,93.8,63.0,95.0,10.1,8.0,130.0,9.3,120.9,99.1,78.0,96.0,9.0,8.0,131.0,95.0,8.0,37.0,4.0,52.0,599.0,0.0,0.0,0.0,CLE,32,31,24,0.0,46.2,23.1,3
Rashod Bateman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4,27.0,62.0,13.8,7.0,107.0,0.0,0.0,69.8,46.0,70.0,12.1,7.0,107.0,64.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,15,18,16,0.0,0.0,0.0,2
Ray-Ray McCloud,0.8,1.3,0.0,1.4,4.8,0.3,0.0,4.1,12.2,138.5,63.0,180.0,45.0,11.0,178.0,2.0,32.2,160.8,142.0,176.0,17.7,11.0,196.0,179.0,11.0,20.0,0.0,22.0,77.0,4.0,0.0,65.0,PIT,22,22,14,0.0,0.0,0.0,5
Richie James Jr.,3.8,2.1,0.1,3.2,35.8,0.0,0.0,0.0,41.4,124.2,87.0,152.0,15.8,11.0,149.0,5.9,64.4,145.6,110.0,171.0,24.7,11.0,203.0,153.0,11.0,23.0,1.0,35.0,394.0,0.0,0.0,0.0,SF,1,9,2,0.0,0.0,0.0,0
Rico Bussey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,220.0,243.0,4.0,14.0,228.0,0.0,0.0,256.0,251.0,289.0,5.0,15.0,261.0,243.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,22,22,14,0.0,0.0,0.0,0
Riley Ridley,0.8,0.8,0.0,0.8,7.8,0.0,0.0,0.0,3.9,181.8,170.0,194.0,8.6,12.0,191.0,1.6,7.9,205.7,165.0,216.0,24.3,12.0,235.0,191.0,12.0,4.0,0.0,4.0,39.0,0.0,0.0,0.0,FA,33,33,33,0.0,0.0,0.0,7
River Cracraft,0.5,0.7,0.0,1.0,4.6,0.0,0.0,0.0,4.1,196.7,182.0,213.0,10.5,12.0,206.0,1.1,10.1,238.7,210.0,272.0,37.1,14.0,291.0,210.0,12.0,6.0,0.0,9.0,41.0,0.0,0.0,0.0,SF,1,9,2,0.0,0.0,0.0,0
Robby Anderson,8.1,5.9,0.2,8.5,68.5,0.3,0.0,0.9,129.2,35.1,21.0,32.0,4.9,5.0,53.0,14.0,224.2,30.2,15.0,29.0,6.1,5.0,48.0,30.0,5.0,95.0,3.0,136.0,1096.0,4.0,0.0,15.0,CAR,5,7,7,0.0,18.8,50.0,2
