PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
JOHN BATES,TE,336.5,0.9,0.0,0.0,1.1,0.0,8.9,0.0,0.0,0.0,308.0,15.1,0.0,0.0,365.3,2.0,305.0,34.1,521.0,49.0,14.0,425.0,19.0,0.0,151.0,516.0,0.0,0.0,0.0,28.5,WAS,14.0,365.0,16,15,20,3,500.0,500
JOHN METCHIE,WR,345.8,1.0,0.0,0.0,1.0,0.0,9.9,0.1,0.0,0.3,265.0,16.2,0.0,0.0,344.3,2.0,238.0,32.2,377.0,61.2,12.0,564.0,16.0,0.0,158.0,383.0,1.0,0.0,4.0,52.4,HOU,13.0,536.0,31,32,16,5,500.0,500
JOHN MUNDT,TE,333.5,1.4,0.0,0.0,1.0,0.1,10.1,0.0,0.0,0.0,294.0,23.2,0.0,0.0,330.2,2.4,273.0,40.2,378.0,26.2,13.0,374.0,17.0,1.0,172.0,381.0,0.0,0.0,0.0,26.7,MIN,13.0,374.0,3,3,6,3,500.0,500
JOHNNY WILSON,WR,344.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,341.7,0.0,238.0,0.0,371.0,60.4,12.0,575.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,56.9,PHI,13.0,574.0,6,11,7,4,500.0,500
JONATHAN MINGO,WR,266.1,2.8,0.0,0.0,2.9,0.0,27.9,0.0,0.0,0.0,196.0,41.8,0.0,0.0,252.7,5.7,153.0,84.8,262.0,31.3,10.0,346.0,43.0,0.0,418.0,271.0,0.0,0.0,0.0,27.4,CAR,11.0,351.0,17,13,18,3,500.0,500
JONATHAN TAYLOR,RB,12.4,13.7,0.0,0.0,1.9,0.1,15.3,16.9,0.7,74.1,5.0,137.4,0.0,0.0,15.0,15.6,8.0,156.4,13.0,6.4,2.0,45.0,19.0,1.0,153.0,11.0,169.0,7.0,741.0,2.2,IND,2.0,21.0,31,32,22,1,10.5,9
JONATHON BROOKS,RB,104.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,114.6,0.0,64.0,0.0,114.0,22.1,7.0,200.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,23.3,CAR,7.0,180.0,32,31,27,1,88.5,88
JONNU SMITH,TE,220.8,4.4,0.0,0.0,2.9,0.2,34.2,0.1,0.0,0.0,129.0,74.2,0.0,0.0,222.4,7.3,123.0,124.2,235.0,47.1,10.0,429.0,50.0,3.0,582.0,234.0,1.0,0.0,0.0,41.7,MIA,10.0,305.0,32,32,26,1,500.0,500
JORDAN ADDISON,WR,109.1,8.9,0.0,0.0,4.1,0.6,53.6,0.1,0.0,0.1,65.0,151.3,0.0,0.0,103.9,13.0,63.0,221.3,101.0,17.0,7.0,162.0,70.0,10.0,911.0,110.0,1.0,0.0,2.0,17.8,MIN,7.0,165.0,10,24,3,2,99.5,116
JORDAN AKINS,TE,372.8,0.8,0.0,0.0,0.9,0.0,7.8,0.0,0.0,0.0,354.0,13.2,0.0,0.0,387.0,1.7,366.0,28.2,483.0,17.9,14.0,431.0,15.0,0.0,132.0,514.0,0.0,0.0,0.0,12.1,CLE,14.0,389.0,1,4,2,2,500.0,500
