,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
CASEY WASHINGTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.5,123.0,166.0,14.6,10.0,174.0,0.0,0.0,144.6,123,166,16.2,10,179,0.0,0.0,0.0,0.0,0.0,0.0,ATL,0.0,20,8,29,0,0,0,0,0,0,5,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CEDRIC TILLMAN,1.7,1.5,0.0,16.0,0.1,0.0,0.6,3.1,23.2,101.1,83.0,100.0,8.7,8.0,142.0,3.2,44.2,100.1,80,99,9.0,8,140,21.0,0.0,224.0,1.0,0.0,8.0,CLE,44.0,26,18,30,0,82,0,0,82,0,4,500.0,500,0,0.0,0,0.0,0,0.0,7,10.9,2,6.9
CEDRICK WILSON,3.2,1.5,0.2,19.7,0.0,0.0,0.0,2.5,47.6,119.2,86.0,131.0,14.5,9.0,145.0,4.6,69.6,121.7,88,132,15.9,9,162,22.0,3.0,296.0,0.0,0.0,0.0,NO,38.0,15,21,10,0,54,0,0,77,0,3,500.0,500,0,0.0,0,0.0,0,0.0,5,7.5,4,9.1
CEEDEE LAMB,15.8,7.9,0.7,102.9,0.8,0.1,6.6,10.6,268.2,1.5,1.0,1.0,0.7,1.0,4.0,23.7,403.2,1.6,1,1,0.8,1,5,135.0,12.0,1749.0,14.0,2.0,113.0,DAL,181.0,1,1,2,31,0,81,44,0,81,1,3.0,2,3,2.9,2,4.0,1,4.2,31,29.8,17,33.3
CHARLIE JONES,1.2,0.6,0.0,5.8,0.2,0.0,1.2,0.8,13.7,145.5,118.0,149.0,11.2,10.0,163.0,1.9,20.7,144.3,117,149,13.0,10,162,7.0,0.0,64.0,2.0,0.0,13.0,CIN,9.0,27,27,23,0,90,0,0,100,0,6,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CHATARIUS ATWELL,4.6,2.4,0.2,30.2,0.3,0.0,1.9,4.2,73.4,112.2,77.0,110.0,13.6,9.0,174.0,7.0,112.4,113.2,78,110,13.8,9,169,39.0,3.0,483.0,5.0,0.0,31.0,LAR,67.0,11,22,6,0,53,13,0,53,20,5,500.0,500,1,1.2,0,0.0,0,0.0,5,6.8,4,9.8
CHRIS BLAIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.7,137.0,192.0,23.1,11.0,200.0,0.0,0.0,162.0,136,189,19.9,11,195,0.0,0.0,0.0,0.0,0.0,0.0,ATL,0.0,20,8,29,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CHRIS CONLEY,0.9,0.4,0.0,8.6,0.0,0.0,0.0,0.8,6.9,197.8,148.0,212.0,42.3,12.0,253.0,1.2,9.9,201.5,150,213,42.6,12,260,3.0,0.0,69.0,0.0,0.0,0.0,SF,6.0,2,3,9,0,100,0,0,100,0,6,500.0,500,0,0.0,0,0.0,0,0.0,1,1.4,1,3.8
CHRIS GODWIN,7.4,4.9,0.1,60.2,0.2,0.1,2.2,7.6,126.2,34.8,20.0,34.0,4.7,5.0,49.0,12.3,209.2,31.8,14,33,4.9,5,43,83.0,2.0,1024.0,4.0,1.0,38.0,TB,130.0,21,16,24,0,13,25,6,6,25,2,76.5,71,1,1.6,0,0.0,0,0.0,16,27.1,11,37.9
CHRIS MOORE,2.7,1.3,0.0,24.9,0.1,0.0,2.3,2.1,46.3,145.3,119.0,159.0,26.6,10.0,204.0,4.0,68.3,145.7,119,160,26.9,10,204,22.0,0.0,424.0,2.0,0.0,39.0,ARI,35.0,7,14,5,0,69,0,0,94,0,4,500.0,500,0,0.0,0,0.0,0,0.0,1,2.1,0,0.0
CHRIS OLAVE,9.0,5.4,0.3,70.2,0.0,0.0,0.0,8.6,144.3,14.8,8.0,15.0,2.9,3.0,26.0,14.5,231.3,12.7,8,12,3.0,3,22,87.0,5.0,1123.0,0.0,0.0,0.0,NO,138.0,15,21,10,0,13,53,0,13,60,1,25.0,19,0,0.0,0,0.0,0,0.0,11,16.9,6,18.2
CHRISTIAN KIRK,7.8,4.8,0.3,65.6,0.1,0.0,0.5,7.1,93.3,32.5,24.0,32.0,3.8,5.0,48.0,12.5,150.3,29.9,18,31,4.5,4,43,57.0,3.0,787.0,1.0,0.0,6.0,JAC,85.0,32,31,21,0,17,33,0,17,33,1,68.0,84,0,0.0,0,0.0,0,0.0,5,7.9,2,6.7
CHRISTIAN WATSON,8.1,3.1,0.6,46.9,0.4,0.0,1.2,5.9,73.3,38.0,24.0,38.0,4.5,5.0,53.0,11.3,101.3,44.8,31,43,5.5,6,59,28.0,5.0,422.0,4.0,0.0,11.0,GB,53.0,5,5,17,11,44,22,11,44,22,2,99.0,92,0,0.0,0,0.0,0,0.0,13,14.4,7,18.9
CODY THOMPSON,0.2,0.2,0.0,1.7,0.0,0.0,0.0,0.2,1.0,257.6,230.0,288.0,17.7,13.0,283.0,0.3,2.0,253.8,229,280,15.2,13,276,1.0,0.0,10.0,0.0,0.0,0.0,TB,1.0,21,16,24,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
COLLIN JOHNSON,0.4,0.3,0.0,3.7,0.0,0.0,0.0,0.3,1.1,220.8,200.0,243.0,15.1,12.0,242.0,0.7,2.1,216.8,193,246,15.2,12,235,1.0,0.0,11.0,0.0,0.0,0.0,CHI,1.0,9,2,27,0,100,0,0,100,0,7,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
COLTON DOWELL,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.2,0.3,259.8,226.0,302.0,29.4,14.0,289.0,0.1,1.3,255.0,228,295,26.2,13,289,1.0,0.0,3.0,0.0,0.0,0.0,TEN,2.0,28,29,19,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
